"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","symbol","entrez","log2FoldChange_raw","symbol_for_plot"
"ENSG00000196220.15",100.350499243411,-1.428811337936,0.367643451505671,-4.28870489612846,1.79717963649375e-05,7.61914992837951e-05,"ENSG00000196220","SRGAP3","9901",-1.57671427050194,"SRGAP3"
"ENSG00000258976.1",13.5561905979371,-2.96894735757651,0.810410763471403,-4.28824178627042,1.80092995769505e-05,7.63140849026143e-05,"ENSG00000258976",NA,NA,-3.47523729996138,"ENSG00000258976"
"ENSG00000151650.7",39.7850942969114,-1.27500865030546,0.323588343165867,-4.28671480694223,1.81334851881275e-05,7.68036936995715e-05,"ENSG00000151650","VENTX","27287",-1.38713094200303,"VENTX"
"ENSG00000240764.3",46.8773506348393,-2.02067245956268,0.534837794600028,-4.2853191392032,1.82477047794311e-05,7.72506453882921e-05,"ENSG00000240764","PCDHGC5","56097",-2.29195063756873,"PCDHGC5"
"ENSG00000057704.12",298.155572739389,-1.09231183366368,0.275477554008732,-4.27979083937792,1.87069034689066e-05,7.90628034362446e-05,"ENSG00000057704","TMCC3","57458",-1.17898631210081,"TMCC3"
"ENSG00000156535.14",1071.94295005664,-1.19485297001351,0.304164676413582,-4.27714490569608,1.89305584467777e-05,7.99130367496752e-05,"ENSG00000156535","CD109","135228",-1.30095639621505,"CD109"
"ENSG00000163431.12",58.364395245111,-1.32780576058091,0.339163118716158,-4.26352100466885,2.0123057468732e-05,8.46254087397787e-05,"ENSG00000163431","LMOD1","25802",-1.44602908065533,"LMOD1"
"ENSG00000163421.8",11.5879667745304,-2.65730434862679,0.716678702773562,-4.24900442212598,2.14722680698918e-05,8.98528721775646e-05,"ENSG00000163421","PROK2","60675",-3.04517097732837,"PROK2"
"ENSG00000267764.1",17.3607196392751,-1.45226367829577,0.374211955144625,-4.24828605081777,2.15412233167569e-05,9.01202026330989e-05,"ENSG00000267764",NA,NA,-1.58975942909015,"ENSG00000267764"
"ENSG00000229914.1",23.766888482969,-1.62418675268044,0.422456445055404,-4.24660882861575,2.17030385744506e-05,9.07330984580417e-05,"ENSG00000229914","RPS10P8","729780",-1.7940072692779,"RPS10P8"
"ENSG00000121440.14",77.4452888274207,-1.31532829127262,0.336966126736368,-4.24567592379837,2.17935435820896e-05,9.10900415194957e-05,"ENSG00000121440","PDZRN3","23024",-1.43064897142019,"PDZRN3"
"ENSG00000112218.8",33.211290893232,-1.54308339416373,0.403199747085333,-4.24108010099846,2.22446726579461e-05,9.28010146659667e-05,"ENSG00000112218","GPR63","81491",-1.71000242409122,"GPR63"
"ENSG00000213071.11",31.6287494047639,-2.20479451152222,0.605547919251507,-4.23526267270764,2.28284695069151e-05,9.48801590451109e-05,"ENSG00000213071",NA,NA,-2.56465449894169,"ENSG00000213071"
"ENSG00000245648.1",12.3145764013062,-1.91659403568716,0.505185453979878,-4.22999281052223,2.33698780682327e-05,9.68811460295385e-05,"ENSG00000245648","KLRK1-AS1","101928100",-2.1369308383153,"KLRK1-AS1"
"ENSG00000161996.18",311.336847318829,-1.11364245933673,0.285525504235755,-4.22741894355689,2.36387288717191e-05,9.78359314178371e-05,"ENSG00000161996","WDR90","197335",-1.20703592547487,"WDR90"
"ENSG00000238160.1",7.87064610236231,-2.46402987145155,0.654502137328456,-4.22689280427148,2.36940473339433e-05,9.80420510404749e-05,"ENSG00000238160","LINC02863","102723741",-2.76651037465395,"LINC02863"
"ENSG00000169413.2",3665.03225863653,-1.06032828302035,0.271685637961975,-4.22074592873734,2.43495252464808e-05,0.00010042695815281,"ENSG00000169413","RNASE6","6039",-1.14671605032441,"RNASE6"
"ENSG00000197769.5",18.8860124581658,-2.06781073809966,0.553944117804363,-4.2195245676707,2.44818045150707e-05,0.000100902279647921,"ENSG00000197769","MAP1LC3C","440738",-2.33738081419218,"MAP1LC3C"
"ENSG00000145020.15",98.4291128767211,-1.60270860133743,0.42807176456169,-4.21277516390558,2.52252127773275e-05,0.000103653752943044,"ENSG00000145020","AMT","275",-1.80337009811472,"AMT"
"ENSG00000163661.3",634.434632224808,-1.39509664938202,0.369107722702182,-4.20045954850847,2.6637375883456e-05,0.00010910335197068,"ENSG00000163661","PTX3","5806",-1.5504220582526,"PTX3"
"ENSG00000249816.6",5.83989674946315,-3.7140878535608,0.99020134271409,-4.17720404833853,2.95114267808006e-05,0.000119853079695701,"ENSG00000249816","LINC00964","157381",-4.13627305745554,"LINC00964"
"ENSG00000219607.3",75.0757983228657,-1.09611958722491,0.283838555041283,-4.17706674931718,2.95292391845431e-05,0.000119898021198926,"ENSG00000219607","PPP1R3G","648791",-1.18561259043718,"PPP1R3G"
"ENSG00000203710.11",310.525335210659,-1.1874354178483,0.311714692816632,-4.16797241532239,3.07321114186356e-05,0.000124271008903752,"ENSG00000203710","CR1","1378",-1.29921824111041,"CR1"
"ENSG00000100206.9",23.5132564225427,-2.12008958126821,0.585971818118989,-4.16689645027441,3.08774670103474e-05,0.000124801988562177,"ENSG00000100206","DMC1","11144",-2.44168388888086,"DMC1"
"ENSG00000163006.11",98.7805719315842,-1.12263333041053,0.29262064820211,-4.15905210545396,3.19571000911449e-05,0.000128931119822889,"ENSG00000163006","CCDC138","165055",-1.21702452300429,"CCDC138"
"ENSG00000149328.14",25.9149964328965,-1.44621863326402,0.385227952635451,-4.15064412949008,3.31540913982179e-05,0.00013309566576217,"ENSG00000149328","GLB1L2","89944",-1.59894414012182,"GLB1L2"
"ENSG00000268061.5",11.3779862890664,-1.82375656495935,0.491470119153235,-4.14883118944881,3.34177117390356e-05,0.000134063109035246,"ENSG00000268061",NA,NA,-2.03902655902507,"ENSG00000268061"
"ENSG00000137727.12",212.083223408376,-1.28111507762743,0.341304830374642,-4.14516414203232,3.39570377761298e-05,0.000136042487682006,"ENSG00000137727","ARHGAP20","57569",-1.41476454437139,"ARHGAP20"
"ENSG00000163815.5",76.3018888828901,-1.08017768634665,0.282138412107415,-4.14357137094081,3.41938586831271e-05,0.000136867850566787,"ENSG00000163815","CLEC3B","7123",-1.16906064705099,"CLEC3B"
"ENSG00000237886.1",15.6506108770646,-1.52127363675885,0.405623113297495,-4.13612617610459,3.53218022263471e-05,0.000141160123491486,"ENSG00000237886","NALT1","101928483",-1.67770837654281,"NALT1"
