"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","16/1170","56/9380",0.285714285714286,2.29059829059829,3.65665162907652,0.000986996752031822,0.00617321604907176,0.00460913315781368,"7100/718/4615/840/834/7099/4791/7124/1379/4792/3569/3592/3606/3576/1378/2919",16
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","49/1170","254/9380",0.192913385826772,1.54660475132916,3.33387758228183,0.00109480815753017,0.00672525011054248,0.00502130057213086,"116443/952/5027/5578/3082/6546/57105/817/7424/10800/53373/57620/3274/255231/5025/57118/6261/8536/4772/113026/10345/196883/2260/1909/56034/5724/3269/107/84812/6543/5567/5155/2321/8911/153/3357/2255/5733/4803/776/3706/5156/7134/4914/5137/135/85366/4923/2902",49
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","22/1170","90/9380",0.244444444444444,1.95973409306743,3.45353562775122,0.00127748878231991,0.00770975686172015,0.00575636681230023,"3717/55509/116071/5603/353376/29126/4615/940/6772/27436/7099/6774/4772/4794/5608/3459/148022/2353/5133/4792/5600/10125",22
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","18/1170","69/9380",0.260869565217391,2.09141583054627,3.43491702884811,0.00156582251808828,0.0092869473486615,0.00693395089679745,"3759/183/3778/5140/5734/1636/1909/5139/1906/4881/5732/5567/2977/153/2983/776/2982/5137",18
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","24/1170","103/9380",0.233009708737864,1.86806074184715,3.34398691933165,0.00160486474192057,0.00935717747831652,0.00698638710131344,"355/718/5603/713/714/4615/7040/7099/6352/3459/1636/7124/148022/2353/8837/4792/3569/3592/107/6347/5600/3576/3586/6348",24
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","39/1170","195/9380",0.2,1.6034188034188,3.21437235951671,0.00172162827925423,0.00987066880105759,0.00736977719540408,"5578/79792/837/718/51311/653361/5603/2209/2358/4688/8349/94239/51284/834/7099/3683/727/728/6404/2215/6714/1379/440689/1183/3017/3690/92815/102724334/3014/8334/554313/5600/8347/1378/8357/7450/8365/366/126961",39
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","42/1170","216/9380",0.194444444444444,1.55887939221273,3.13690994850118,0.00205881432642365,0.0114659520771705,0.00856086997193884,"958/3717/5578/817/8743/355/653361/5603/9641/353376/4615/4318/3383/840/4688/4067/596/10010/834/7099/6256/6774/3665/6352/4772/1543/5608/7412/7124/148022/6714/2353/4792/3569/3592/4780/6347/3606/5600/3576/2919/6348",42
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","13/1170","44/9380",0.295454545454545,2.36868686868687,3.43518109939559,0.00206653787437376,0.0114659520771705,0.00856086997193884,"5423/10038/2237/5426/10039/5984/7374/5985/3978/5427/5983/55247/5111",13
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","18/1170","71/9380",0.253521126760563,2.03250270855905,3.29661688762105,0.00221628328102659,0.0121016102963992,0.00903547402791124,"3659/8792/3717/1154/5603/6772/8651/6776/6774/2309/6714/53358/2353/5600/9021/8600/8835/5618",18
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","10/1170","30/9380",0.333333333333333,2.67236467236467,3.46326263196152,0.00249573657003444,0.0132307674165752,0.00987854115558245,"9429/4524/10257/1719/8714/7124/3569/6470/113235/7298",10
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","20/1170","83/9380",0.240963855421687,1.93182988363711,3.21887331886885,0.00249999965720171,0.0132307674165752,0.00987854115558245,"9447/79792/9641/115004/840/81030/834/3627/103/3665/4210/6352/90865/4792/3569/3606/23586/6351/653082/9560",20
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","21/1170","91/9380",0.230769230769231,1.85009861932939,3.07613326246893,0.00345593425676521,0.0180127482473823,0.0134489307599794,"27071/11006/55024/10990/11025/4067/10288/11027/29760/4772/118788/10859/4794/971/79168/8519/11024/2353/4792/23547/353514",21
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","10/1170","32/9380",0.3125,2.50534188034188,3.21995944552229,0.00424618244071949,0.021801294919515,0.0162775886179977,"10018/5414/5366/578/840/596/27113/332/330/79444",10
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","22/1170","99/9380",0.222222222222222,1.78157644824311,2.95115007479334,0.00456962219966908,0.0228044195900719,0.0170265556302863,"6546/7040/3693/55799/183/3679/3695/1636/7124/93589/6645/4000/8082/1906/3690/3569/1674/4625/6543/776/7134/6444",22
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","23/1170","105/9380",0.219047619047619,1.75612535612536,2.94124439586784,0.00457414230149699,0.0228044195900719,0.0170265556302863,"6546/7040/3693/55799/183/3679/3695/196883/7124/93589/6645/4000/8082/3690/1674/107/4625/6543/5567/153/776/7134/6444",23
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","11/1170","38/9380",0.289473684210526,2.32073774179037,3.07955578529224,0.00531203654914709,0.0256001613841252,0.0191139515842306,"4261/6890/958/6891/5993/29760/5788/3718/3561/7374/3575",11
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","14/1170","54/9380",0.259259259259259,2.07850585628363,3.00034573606843,0.00532250691471103,0.0256001613841252,0.0191139515842306,"116028/672/2178/5888/55215/378708/641/146956/2189/29089/2177/2175/2187/100526739",14
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","38/1170","201/9380",0.189054726368159,1.51566951566952,2.78978941683311,0.00535817331295643,0.0256001613841252,0.0191139515842306,"4094/958/578/5371/51513/2209/4318/597/942/1031/6256/861/4616/1026/3695/890/85414/604/330/3569/860/2115/10912/8013/3486/26471/3576/5328/2321/8357/8842/7185/3248/8900/5079/7850/126961/4914",38
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","21/1170","99/9380",0.212121212121212,1.7005957005957,2.64537532938782,0.0095569067665311,0.0450352866806397,0.0336248774482132,"5578/817/5603/5321/3556/8605/41/5608/196883/5734/6714/3269/107/100137049/5732/5567/5600/3357/4803/5029/4914",21
